date,open,high,low,close,volume
2018-04-02,166.6507,167.7029,163.2657,165.4595,37586791
2018-04-03,166.4124,167.5098,163.6727,167.157,30278046
2018-04-04,163.6727,170.7504,163.5635,170.3534,34605489
2018-04-05,171.3163,172.9546,170.8199,171.5347,26933197
2018-04-06,169.7181,171.217,166.9683,167.147,35005290
2018-04-09,168.636,171.8225,168.6013,168.8048,29017718
2018-04-10,171.7332,172.7259,170.274,171.9814,28614241
2018-04-11,170.9688,172.6496,170.4427,171.1773,22431640
2018-04-12,172.1402,173.7185,171.7729,172.8648,22889285
2018-04-13,173.5002,174.5524,172.577,173.4505,25124255
2018-04-16,173.7484,174.8998,173.5499,174.5325,21578420
2018-04-17,175.1976,177.6262,175.1182,176.9348,26605442
2018-04-18,176.508,177.5106,175.5848,176.5378,20754538
2018-04-19,173.6689,174.1057,171.3957,171.5347,34808800
2018-04-20,169.3458,169.9646,164.2186,164.5065,65491140
2018-04-23,165.6131,165.6977,162.8884,164.03,36515477
2018-04-24,164.4569,165.112,160.0396,161.7469,33692017
2018-04-25,161.4292,164.2087,161.2207,162.4517,28382084
2018-04-26,162.9182,164.5164,162.1737,163.0175,27963014
2018-04-27,162.7991,163.1267,159.4538,161.1314,35655839
2018-04-30,160.943,166.0352,160.6549,164.0499,42427424
2018-05-01,165.1916,167.961,164.0598,167.8618,53569376
2018-05-02,173.9419,176.4484,172.5273,175.2771,66539371
2018-05-03,174.5921,176.2002,173.1637,175.5947,34068180
2018-05-04,176.9448,182.9008,176.8653,182.4839,56201317
2018-05-07,183.824,186.2958,183.3972,183.8042,42451423
2018-05-08,183.6354,184.8564,182.3201,184.6876,28402777
2018-05-09,185.184,186.0277,183.8637,185.988,23211241
2018-05-10,186.3653,188.976,186.2759,188.6484,27989289
2018-05-11,188.8277,189.3957,186.7949,187.9309,26212221
2018-05-14,188.3494,188.8676,187.2034,187.4924,20778772
2018-05-15,186.1272,186.4162,184.4531,185.7884,23695159
2018-05-16,185.4197,187.8013,185.3499,187.5223,19183064
2018-05-17,187.3429,188.2498,185.7087,186.3365,17294029
2018-05-18,186.5358,187.1538,185.4795,185.6588,18297728
2018-05-21,187.3429,188.6085,186.2573,186.9742,18400787
2018-05-22,187.7166,188.2199,186.1272,186.5059,15240704
2018-05-23,185.6987,187.8412,185.1108,187.7017,20058415
2018-05-24,188.1102,188.18,185.5592,187.4924,23233975
2018-05-25,187.5721,188.9872,186.9942,187.9209,17460963
2018-05-29,186.9443,188.0903,186.2169,187.2433,22514075
2018-05-30,187.0639,187.3429,186.1272,186.8447,18690547
2018-05-31,186.5657,187.5721,185.4894,186.2169,27482793
2018-06-01,187.3342,189.595,187.0938,189.5751,23442510
2018-06-04,190.9652,192.744,190.6812,191.1596,26266174
2018-06-05,192.3902,193.2622,191.6877,192.6344,21565963
2018-06-06,192.9533,193.4017,191.2492,193.302,20933619
2018-06-07,193.4615,193.5213,191.6628,192.7839,21347180
2018-06-08,190.5019,191.329,189.1068,191.03,26656799
2018-06-11,190.6812,191.2991,189.5452,190.5617,18308460
2018-06-12,190.7161,191.9378,190.4819,191.608,16911141
2018-06-13,191.7475,192.2059,189.7744,190.0335,21638393
2018-06-14,190.8805,190.9005,189.5552,190.1332,21610074
2018-06-15,189.3658,189.4954,187.602,188.18,61719160
2018-06-18,187.2234,188.5587,186.5457,188.0804,18484865
2018-06-19,184.4929,185.6788,182.8088,185.041,33578455
2018-06-20,185.6987,186.5457,185.0809,185.8482,20628701
2018-06-21,186.5956,187.6917,184.2936,184.8118,25711898
2018-06-22,185.4695,185.4994,184.0545,184.2737,27200447
2018-06-25,182.759,184.2737,180.0983,181.5333,31663096
2018-06-26,182.3504,185.8781,181.902,183.7854,24569201
2018-06-27,184.5804,186.6255,183.3868,183.5164,25285328
